,Project,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
90,BOULEVARD 88,10.0,10.0,10.0,CCR,26,248655,1.3049543207656398,103.827627471264,ORCHARD BOULEVARD,74.29,35,26,10
91,SEASUITES,5.0,5.0,5.0,RCR,0,118617,1.2824208327018898,103.783142732009,PASIR PANJANG ROAD,96.15,52,50,5
92,KALLANG RIVERSIDE,12.0,12.0,12.0,RCR,0,338986,1.3071047418165802,103.867087818477,KAMPONG BUGIS,93.87,212,199,12
93,STIRLING RESIDENCES,3.0,3.0,3.0,RCR,45,148962,1.29114950641847,103.80457361051701,STIRLING ROAD,87.94,680,598,3
94,THE TRE VER,13.0,13.0,13.0,RCR,131,358399,1.33649233871609,103.865628864789,POTONG PASIR AVENUE 1,97.33,450,438,13
95,3 CUSCADEN,10.0,10.0,10.0,CCR,6,249690,1.3039333193071,103.82938816157801,CUSCADEN WALK,36.46,96,35,10
96,PARKSUITES,10.0,10.0,10.0,CCR,0,278805,1.31585312169371,103.78287202099101,HOLLAND GROVE ROAD,34.0,50,17,10
97,CASA AL MARE,17.0,17.0,17.0,OCR,0,506930,1.37785629605719,103.95708961997299,JALAN LOYANG BESAR,22.45,49,11,17
98,BUKIT 828,23.0,23.0,23.0,OCR,1,678155,1.3738359173589798,103.763124764765,UPPER BUKIT TIMAH ROAD,52.94,17,9,23
99,8 HULLET,9.0,9.0,9.0,CCR,0,229160,1.30301094048972,103.838718322482,HULLET ROAD,79.55,44,35,9
100,MONT BOTANIK RESIDENCE,23.0,23.0,23.0,OCR,0,NIL,1.35833161787518,103.760010714342,JALAN REMAJA,11.11,54,6,23
101,MARGARET VILLE,3.0,3.0,3.0,RCR,10,149312,1.29951720808421,103.802806930224,MARGARET DRIVE,85.11,188,160,3
102,BIJOU,5.0,5.0,5.0,RCR,1,119554,1.27685386379361,103.79174217178499,JALAN MAT JAMBOL,65.83,120,79,5
103,THE WOODLEIGH RESIDENCES,13.0,13.0,13.0,RCR,0,367801,1.3391415935071,103.87227624503001,BIDADARI PARK DRIVE,54.0,50,27,13
104,THE OCTET,14.0,14.0,14.0,RCR,0,398628,1.3120699913603702,103.883562422294,LORONG 24 GEYLANG,98.21,56,55,14
105,PARK COLONIAL,13.0,13.0,13.0,RCR,11,357658,1.3382315968815,103.869540683996,WOODLEIGH LANE,72.05,805,580,13
