Postal,Latitude,Longitude,Project,Street
098450,1.24528891491061,103.843545688619,THE COAST AT SENTOSA COVE,OCEAN DRIVE
669233,1.35327028735118,103.758796748369,NATURA@HILLVIEW,HILLVIEW TERRACE
436921,1.29808902455802,103.871049333284,PEBBLE BAY,TANJONG RHU ROAD
169661,1.29024259615152,103.841385089725,RIVER PLACE,HAVELOCK ROAD
NIL,1.31827684089246,103.813892192245,,CLUNY PARK
359967,1.34410602889561,103.868701367991,E MAISON,BRADDELL ROAD
NIL,1.34923544703128,103.845810524012,LAUW & SONS GARDEN,BINCHANG RISE
669086,1.35985112774226,103.757157130248,HILLVIEW COURT,JALAN DERMAWAN
519944,1.37744783471944,103.941602276886,OASIS @ ELIAS,ELIAS ROAD
268218,1.3184863560016,103.803515059119,KING'S GARDEN,KING'S CLOSE
807018,1.38682475627707,103.869112215319,THE GREENWICH,SELETAR ROAD
423824,1.31335497672777,103.910858221599,THE COTZ,TELOK KURAU ROAD
298130,1.32836360888923,103.841418362322,CUBE 8,THOMSON ROAD
249034,1.29419309179532,103.823247232673,JERVOIS LODGE,JERVOIS ROAD
259426,1.30987538864488,103.830978929087,J C DRAYCOTT,DRAYCOTT DRIVE
NIL,1.31315255590486,103.877522007799,,LORONG 13 GEYLANG
439829,1.29890153862648,103.887151599437,ARTHUR MANSIONS,ARTHUR ROAD
249570,1.29850482255038,103.825566227543,BEVERLY HILL,GRANGE ROAD
437885,1.29668185515839,103.889100113074,THE ATRIA AT MEYER,MEYER ROAD
398076,1.31238857481375,103.889350753415,THE SUNNY SPRING,LORONG 40 GEYLANG
NIL,1.35292988587052,103.831811032634,,SOO CHOW WAY
757713,1.44819535371133,103.819502127155,SUN PLAZA,SEMBAWANG DRIVE
257792,1.31302492432814,103.808159432597,VILLA DELLE ROSE,TAMAN NAKHODA
429986,1.30381233621836,103.903604161886,EAST VIEW,BROOKE ROAD
638310,1.33944625883068,103.691990658739,YUNNAN GARDENS,YUNNAN CRESCENT
188613,1.29652039381176,103.854938955655,TALIB CENTRE,PURVIS STREET
309837,1.32297529982031,103.847822668982,PASTORAL VIEW,BASSEIN ROAD
259725,1.31828107898795,103.829382520419,THE LEGEND,BUKIT TIMAH ROAD
789482,1.37932555411487,103.829117441177,TEACHER'S HOUSING ESTATE,IQBAL AVENUE
328107,1.3244972134403,103.846222506253,PINNACLE 16,SHAN ROAD
NIL,1.30030237661747,103.821152766448,,CHATSWORTH ROAD
369182,1.33225554091007,103.881146983892,MACPHERSON GARDEN ESTATE,JALAN GEMBIRA
328005,1.32618605863825,103.863993596759,THE MORNINGTON,MICHAEL'S ROAD
427711,1.30403985353693,103.905803196839,PARC SEABREEZE,JOO CHIAT ROAD
259856,1.3149898785918,103.829293984495,PINETREE CONDOMINIUM,BALMORAL PARK
509069,1.36907787064117,103.970571482117,LOYANG VALLEY,LOYANG AVENUE
068882,1.28093474456199,103.849822465734,ROBINSON SUITES,ROBINSON ROAD
486137,1.32070065096211,103.956921625801,EASTWOOD LODGE,EASTWOOD ROAD
239059,1.29213320015399,103.838064913731,MARTIN NO 38,MARTIN ROAD
398432,1.3125373323571,103.885402784916,MELOSA,LORONG 28 GEYLANG
239949,1.2918837358796,103.838945567915,THE INSPIRA,ARNASALAM CHETTY ROAD
308107,1.31886774002957,103.844735181248,NOVENA SUITES,MOULMEIN ROAD
NIL,1.29871037258456,103.889807299815,,RAMSGATE ROAD
NIL,1.32801200245676,103.866927251348,,OPAL CRESCENT
NIL,1.31495210958969,103.88371181951,,LORONG 27 GEYLANG
259806,1.3164395458846,103.833183835473,BALMORAL POINT,BALMORAL ROAD
425687,1.31266290803797,103.911509004252,THE CRISTALLO,LORONG K TELOK KURAU
NIL,1.30940093932424,103.856829411756,,SAM LEONG ROAD
278555,1.31213029591836,103.80124961511,HOLLAND MANSION,HOLLAND ROAD
NIL,1.31115557354328,103.885424800698,,GUILLEMARD ROAD
437920,1.29653126696946,103.893419027469,THE SOVEREIGN,MEYER ROAD
169568,1.28705859767553,103.82778753198,MERAPRIME,JALAN BUKIT HO SWEE
417642,1.32864269824433,103.913744097652,LEVENUE,LENGKONG EMPAT
679521,1.37047183739525,103.777207678431,TREE HOUSE,CHESTNUT AVENUE
NIL,1.30996635565525,103.924642793249,FERNWOOD TERRACES,FERNWOOD TERRACE
079717,1.27461794103823,103.844319553688,ALTEZ,ENGGOR STREET
569788,1.38531049234006,103.842088253449,NUOVO,ANG MO KIO AVENUE 9
228079,1.30313586587223,103.847735636923,WILKIE 80,WILKIE ROAD
678277,1.36908360324968,103.777214643745,FORESQUE RESIDENCES,PETIR ROAD
309930,1.32136539187226,103.83624409321,LOTUS AT BARKER,BARKER ROAD
556115,1.34960244537433,103.863649652094,CHILTERN PARK,SERANGOON AVENUE 3
127888,1.31223529592991,103.756580320401,SUNGROVE,WEST COAST GROVE
539853,1.35576229358738,103.885666196498,CHARLTON PARK,AROOZOO AVENUE
NIL,1.46086569952116,103.837700798001,,WAK HASSAN PLACE
249476,1.30994550130316,103.80495255488,LIEN TOWERS,HOLLAND PARK
328703,1.3275188475618,103.862564898481,VETRO,MAR THOMA ROAD
NIL,1.31166440571617,103.877630480173,,LORONG 10 GEYLANG
807022,1.38615083821532,103.869512167572,SELETAR PARK RESIDENCE,SELETAR ROAD
219053,1.3169393543229,103.851895065804,PRISTINE HEIGHTS,MERGUI ROAD
439423,1.31199754371684,103.895453581733,BUTTERWORTH 8,BUTTERWORTH LANE
689051,1.37807456946795,103.747881713789,PALM GARDENS,HONG SAN WALK
537020,1.3490066777728,103.877756212359,JADE RESIDENCES,LEW LIAN VALE
538978,1.34483958528192,103.875342732702,CASA ESPANIA,GAMBIR WALK
597631,1.31864363606525,103.778051137667,PANDAN VALLEY,PANDAN VALLEY
398453,1.31190419143632,103.885369365155,LA BRISA,LORONG 28 GEYLANG
648156,1.34565751147427,103.725314555002,LAKEVILLE,JURONG LAKE LINK
598326,1.33657351759697,103.780297255982,1 KING ALBERT PARK,KING ALBERT PARK
258378,1.30759571835759,103.824842892436,NASSIMVILLE,NASSIM ROAD
357729,1.34589602826565,103.868787281732,MILFORD VILLAS,LORONG SELANGAT
NIL,1.31040680919462,103.877220068483,,LORONG 8 GEYLANG
455277,1.31449079443477,103.932605816024,SUITES @ EASTCOAST,UPPER EAST COAST ROAD
357922,1.33669549416825,103.867599453466,EURO-ASIA PARK,WOODLEIGH CLOSE
347848,1.32852510557877,103.869323306634,THE VENUE RESIDENCES,TAI THONG CRESCENT
258711,1.3169867430678,103.830547010629,BELLERIVE,KENG CHIN ROAD
NIL,1.28278961835662,103.847195702215,,CLUB STREET
424166,1.30842365012989,103.913565436363,ST PATRICK'S LOFT,PATRICK'S ROAD
427941,1.31425012986282,103.907321618596,THE GLACIER,JOO CHIAT PLACE
259718,1.31749733100613,103.831624131657,WING ON LIFE GARDEN,BUKIT TIMAH ROAD
308227,1.32462194319898,103.849957588255,THE AXIS,MANDALAY ROAD
259961,1.31000595995369,103.829193296021,ARDMORE PARK,ARDMORE PARK
219648,1.31477585742825,103.846680464253,MERA SPRINGS,CARLISLE ROAD
598433,1.34295026529864,103.768245398461,REGIS MANSIONS,JALAN RAJAWALI
436927,1.29674974193427,103.871405033364,SANCTUARY GREEN,TANJONG RHU ROAD
NIL,1.29558337669447,103.837734423788,,RIVER VALLEY ROAD
449307,1.2999959193995,103.903100616491,SILVERSEA,MARINE PARADE ROAD
328702,1.32751519175504,103.86282558481,THE CALLISTA,MAR THOMA ROAD
229955,1.30966025311748,103.838445256943,ORCHARD SCOTTS,ANTHONY ROAD
NIL,1.27757611301623,103.838460476667,,NEIL ROAD
437361,1.31003444599103,103.893748167258,ESTIQUE,ROSE LANE
424385,1.31140831008695,103.906233403164,THE SERENNIA,PULASAN ROAD
439092,1.2986883135988,103.884853403453,FULCRUM,FORT ROAD
NIL,1.34566018926063,103.86853104469,SERENEVIEW MANSIONS,LORONG SELANGAT
667980,1.36303389442687,103.764128549082,THE HILLIER,HILLVIEW RISE
416558,1.31869288808786,103.905749453707,EUNOS GREEN,SIMS AVENUE EAST
NIL,1.33963941973378,103.787948766542,,BINJAI PARK
398028,1.31393251524874,103.89061264704,ASTON MANSIONS,LORONG 42 GEYLANG
309065,1.31608941426123,103.838579797187,MORIMASA GARDENS,GILSTEAD ROAD
NIL,1.32256421369927,103.855476920643,,WHAMPOA DRIVE
439827,1.29881699490339,103.887872870464,ARTHUR 118,ARTHUR ROAD
259830,1.31524288709597,103.827223216821,THE BALMORAL,BALMORAL PARK
557412,1.35696458761829,103.863784289758,SERANGOON GARDEN PARK,JALAN PACHELI
307968,1.31756869967121,103.841183539314,NEWTON LODGE,NEWTON ROAD
NIL,1.31405219760035,103.791269461812,,HOLLAND ROAD
228239,1.31236517710988,103.836722495413,SCOTTS HIGHPARK,SCOTTS ROAD
NIL,1.32958191745568,103.946101142754,D'MANOR,TANAH MERAH KECHIL AVENUE
806968,1.3821580381423,103.869392954591,BELGRAVIA PARK,SELETAR TERRACE
