Postal,Latitude,Longitude,Project,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
596134,1.33936076031624,103.770299867501,DAINTREE RESIDENCE,TOH TUCK ROAD,58.75,80,47,21
NIL,1.3301031379017398,103.796830764171,FOURTH AVENUE RESIDENCES,FOURTH AVENUE,46.43,168,78,10
528457,1.34425932289797,103.949073592994,TREASURE AT TAMPINES,TAMPINES LANE,58.98,490,289,18
178884,1.2929881833109198,103.85104659785499,EDEN RESIDENCES CAPITOL,STAMFORD ROAD,41.03,39,16,6
239219,1.29930788596275,103.832399949956,FERRA,LEONIE HILL,0.0,33,0,9
399915,1.3096768582348701,103.880642764235,ARENA RESIDENCES,GUILLEMARD CRESCENT,71.43,70,50,14
387946,1.31547407018064,103.888827552085,SIXTEEN35 RESIDENCES,LORONG 35 GEYLANG,100.0,60,60,14
757529,1.46159897669945,103.839537620712,WATERCOVE,WAK HASSAN DRIVE,94.59,74,70,27
544594,1.3935168810724199,103.88364325964899,RIVERCOVE RESIDENCES,ANCHORVALE LANE,98.73,628,620,19
249600,1.29997909930356,103.82552281449199,120 GRANGE,GRANGE ROAD,90.0,50,45,10
328231,1.3262687072764698,103.86614267361401,JUI RESIDENCES,SERANGOON ROAD,42.74,117,50,12
259385,1.3100846071438799,103.83071567633301,ONE DRAYCOTT,DRAYCOTT PARK,4.69,64,3,10
118584,1.27907327646797,103.78493242829398,HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,98.25,57,56,5
249078,1.2940944649806598,103.82271555485201,38 JERVOIS,JERVOIS ROAD,37.04,27,10,10
528512,1.35339102396781,103.929017486717,THE TAPESTRY,TAMPINES STREET 86,87.43,700,612,18
018979,1.2772242561628702,103.853694940241,MARINA ONE RESIDENCES,MARINA WAY,85.39,671,573,1
439886,1.30234997893114,103.90126790076799,AMBER 45,AMBER ROAD,82.5,120,99,15
575749,1.3518148538389998,103.838298222332,JADESCAPE,SHUNFU ROAD,80.21,480,385,20
278569,1.3121352205859398,103.79901103753099,THE ENCLAVE . HOLLAND,HOLLAND ROAD,100.0,10,10,10
248655,1.3049543207656398,103.827627471264,BOULEVARD 88,ORCHARD BOULEVARD,74.29,35,26,10
118617,1.2824208327018898,103.783142732009,SEASUITES,PASIR PANJANG ROAD,96.15,52,50,5
338986,1.3071047418165802,103.867087818477,KALLANG RIVERSIDE,KAMPONG BUGIS,93.87,212,199,12
148962,1.29114950641847,103.80457361051701,STIRLING RESIDENCES,STIRLING ROAD,87.94,680,598,3
358399,1.33649233871609,103.865628864789,THE TRE VER,POTONG PASIR AVENUE 1,97.33,450,438,13
