,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
69,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,459107,1.31291496683249,103.92472167775499,SPRINGVALE,15.0,4000.0,2.35
70,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,NIL,1.30917274080058,103.913299706791,,,,
71,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,428762,1.30414392147879,103.90304092286199,MODA,10.0,5000.0,2.5
72,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,429026,1.30941222815183,103.912606742916,HERITAGE EAST,14.0,2300.0,2.56
73,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,429065,1.30981699540352,103.914314726376,MAYFAIR RESIDENCES,19.0,3200.0,2.91
74,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,428722,1.30468470970715,103.901888571632,THE ODEON KATONG,14.0,1900.0,3.17
75,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,NIL,1.30917274080058,103.913299706791,,,,
76,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,429081,1.3103683207593202,103.915953870775,AURALIS,4.0,5500.0,3.24
77,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,459135,1.30955905953911,103.91834862143101,COASTARINA,9.0,2700.0,3.38
78,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,429021,1.30882433610905,103.913449991483,448@EAST COAST,10.0,3800.0,3.45
79,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,429073,1.30987770054421,103.91507749678301,THE SOUND,3.0,4900.0,3.5
80,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,NIL,1.30917274080058,103.913299706791,KATONG OMEGA APARTMENTS,2.0,3400.0,3.78
81,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,459007,1.31125206992855,103.921737475803,UNITED MANSION,10.0,4200.0,3.82
82,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,428769,1.30335696401523,103.904685504029,EAST GROVE,11.0,2400.0,4.8
83,THE RED HOUSE,57.14,35,20,15,EAST COAST ROAD,15.0,15.0,15.0,RCR,0,428960,1.30881328700272,103.90985753685301,POSHGROVE EAST,9.0,2500.0,6.25
84,URBAN VILLAS,71.43,7,5,19,PAYA LEBAR CRESCENT,19.0,19.0,19.0,OCR,1,NIL,1.34952347675613,103.880479560399,,,,
85,URBAN VILLAS,71.43,7,5,19,PAYA LEBAR CRESCENT,19.0,19.0,19.0,OCR,1,534239,1.35025662393928,103.880579427111,TANGERINE GROVE,2.0,3000.0,6.0
86,NEEM TREE,86.11,72,62,12,JALAN KEMAMAN,12.0,12.0,12.0,RCR,1,NIL,1.32662941011712,103.85053192754,,,,
87,NEEM TREE,86.11,72,62,12,JALAN KEMAMAN,12.0,12.0,12.0,RCR,1,NIL,1.32662941011712,103.85053192754,KEMAMAN POINT,19.0,3000.0,3.33
88,THE NAVIAN,89.58,48,43,14,JALAN EUNOS,14.0,14.0,14.0,OCR,0,419535,1.32944642211592,103.905720836103,EUNOS MANSION,12.0,1800.0,3.6
89,THE NAVIAN,89.58,48,43,14,JALAN EUNOS,14.0,14.0,14.0,OCR,0,415816,1.32821242346437,103.907086070579,EUHABITAT,19.0,3400.0,3.78
90,THE ALPS RESIDENCES,98.4,626,616,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,1,528574,1.3519665929749598,103.928141877106,THE SANTORINI,10.0,18000.0,2.4
91,THE ALPS RESIDENCES,98.4,626,616,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,1,528591,1.3512844009602298,103.927174717066,Q BAY RESIDENCES,11.0,5000.0,2.63
92,THE TAPESTRY,87.43,700,612,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,30,528574,1.3519665929749598,103.928141877106,THE SANTORINI,10.0,18000.0,2.4
