Postal,Latitude,Longitude,Project,Street,District,Rent,PricePerSqft
229790,1.3077063864276102,103.83796611805401,THE PROMONT,CAIRNHILL CIRCLE,21.0,2700.0,1.8
327849,1.32862584566184,103.86513314535802,SUITES @ TOPAZ,TOPAZ ROAD,20.0,2700.0,1.8
NIL,1.4438917601608703,103.826609664814,D'BANYAN,JALAN SENDUDOK,23.0,2700.0,1.8
NIL,1.30983610080383,103.80292472033301,HOLLAND HILL LODGE,HOLLAND HILL,19.0,2700.0,1.8
127728,1.3185412139981698,103.754055186446,BOTANNIA,WEST COAST PARK,28.0,3600.0,1.8
534957,1.3463320293382202,103.880240670377,BAYOU RESIDENCE,UPPER PAYA LEBAR ROAD,18.0,2900.0,1.81
119010,1.2873674495536498,103.793148015718,NORMANTON PARK,NORMANTON PARK,19.0,2900.0,1.81
269678,1.3124511133963799,103.800663605201,THE CORNWALL,CORNWALL GARDENS,23.0,2350.0,1.81
239855,1.2988464720180601,103.837351959315,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,21.0,2000.0,1.82
489929,1.32847324320349,103.95135621615,STRATFORD COURT,BEDOK RIA CRESCENT,21.0,2000.0,1.82
257722,1.30816131561975,103.820189431467,BOTANIC GARDENS MANSION,TAMAN SERASI,21.0,2000.0,1.82
NIL,1.31796751419662,103.937189736127,,SENNETT PLACE,,,
NIL,1.33011350321669,103.81159759672899,THE PARK VALE,PARK VALE,3.0,2000.0,1.82
078878,1.27517000041485,103.844496391516,ICON,GOPENG STREET,16.0,3100.0,1.82
329731,1.3229770586826899,103.852811284107,BALESTIER 288,BALESTIER ROAD,23.0,2000.0,1.82
NIL,1.3115717331113301,103.859328437225,,JALAN BESAR,,,
228030,1.30267880191914,103.849308285595,WILKIE REGENCY,WILKIE TERRACE,23.0,2000.0,1.82
NIL,1.31197059624454,103.929076198228,,TAY LIAN TECK DRIVE,,,
486063,1.33265404976409,103.941967252939,TANAMERA CREST,PARI DEDAP WALK,21.0,2000.0,1.82
544782,1.36862891294022,103.87693025345301,TERRASSE,TERRASSE LANE,3.0,2200.0,1.83
589488,1.33772750116804,103.780072604798,JARDIN,DUNEARN ROAD,10.0,3300.0,1.83
NIL,1.3142043672836698,103.878566899252,,LORONG 17 GEYLANG,,,
419977,1.31817526770851,103.909292082346,MERA EAST,CHANGI ROAD,23.0,2200.0,1.83
298090,1.32302176043309,103.82529938581999,THE TREVOSE,TREVOSE CRESCENT,19.0,2200.0,1.83
NIL,1.3160443391090901,103.82816250241,,BALMORAL PARK,,,
219384,1.31351026234073,103.848372065079,THE URBANITE,HERTFORD ROAD,19.0,2950.0,1.84
576439,1.3605612938280702,103.831322647843,COUNTRY GRANDEUR,LORONG PUNTONG,9.0,2950.0,1.84
417061,1.31980049588128,103.90959773366501,SERENITY TERRACE,LORONG MARZUKI,15.0,2400.0,1.85
426049,1.31570830110217,103.908882701488,H RESIDENCES,LORONG H TELOK KURAU,23.0,2400.0,1.85
349935,1.3330167230208998,103.877378391572,SENNETT ESTATE,BELIMBING AVENUE,17.0,1850.0,1.85
169382,1.2761089955429399,103.83548761698299,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,18.0,2400.0,1.85
437871,1.2982520266328401,103.887049335154,THE VIEW @ MEYER,MEYER ROAD,3.0,3700.0,1.85
239347,1.2934496158105802,103.838888915765,OLEANAS RESIDENCE,KIM YAM ROAD,23.0,2600.0,1.86
NIL,1.3251583103082099,103.79798229059901,,NAMLY VIEW,,,
277205,1.31555944494897,103.779325029292,MOUNT SINAI,MOUNT SINAI AVENUE,21.0,2600.0,1.86
117382,1.29004669718387,103.777699133755,WHITEHAVEN,PASIR PANJANG ROAD,16.0,4100.0,1.86
389779,1.31623494982416,103.884417981377,CENTRAL GROVE,GEYLANG EAST AVENUE 1,5.0,6500.0,1.86
NIL,1.30982421000159,103.923305002329,,EAST COAST AVENUE,,,
506861,1.35588599347411,103.965304613692,PARC OLYMPIA,FLORA DRIVE,18.0,2600.0,1.86
NIL,1.31101430592228,103.85975060783899,,TYRWHITT ROAD,,,
NIL,1.32217138336912,103.836736937941,,CHANCERY LANE,,,
288407,1.3273195255861898,103.812831770778,18 SHELFORD,SHELFORD ROAD,23.0,4650.0,1.86
NIL,1.28915188508084,103.839607614144,,HAVELOCK ROAD,,,
398231,1.31277802349796,103.887651557664,GEYLANG HERITAGE,LORONG 34 GEYLANG,21.0,2800.0,1.87
425767,1.31337005210125,103.914756218153,SUNNY PARC,LORONG K TELOK KURAU,21.0,2800.0,1.87
388792,1.31284573698828,103.87593640971599,CENTRA RESIDENCE,LORONG 7 GEYLANG,18.0,5600.0,1.87
NIL,1.34600645367468,103.860966504743,,DUNSFOLD DRIVE,,,
738331,1.4284654302146,103.779967866717,PINEWOOD TERRACE,PINEWOOD GROVE,14.0,3000.0,1.88
427710,1.3045088314484599,103.905450923104,CORALIS,JOO CHIAT ROAD,18.0,2450.0,1.88
NIL,1.3141172563582801,103.847835094641,,CAMBRIDGE ROAD,,,
596289,1.33521989433289,103.7818413386,THE STERLING,BUKIT TIMAH ROAD,12.0,3200.0,1.88
248480,1.30030869965275,103.815442859196,TANGLIN PARK,RIDLEY PARK,23.0,2450.0,1.88
489532,1.34007345139914,103.95533755430701,MISTRAL PARK,HARVEY AVENUE,9.0,3000.0,1.88
