Project,Street,District,Rent,PricePerSqft
OASIS @ ELIAS,ELIAS ROAD,15,2550,1.96
KING'S GARDEN,KING'S CLOSE,20,6900,1.97
THE GREENWICH,SELETAR ROAD,15,2950,1.97
THE COTZ,TELOK KURAU ROAD,15,2600,2.0
CUBE 8,THOMSON ROAD,21,2200,2.0
JERVOIS LODGE,JERVOIS ROAD,21,2200,2.0
J C DRAYCOTT,DRAYCOTT DRIVE,21,2200,2.0
LANDED HOUSING DEVELOPMENT,LORONG 13 GEYLANG,21,2800,2.0
ARTHUR MANSIONS,ARTHUR ROAD,21,2200,2.0
BEVERLY HILL,GRANGE ROAD,21,2200,2.0
THE ATRIA AT MEYER,MEYER ROAD,21,2200,2.0
THE SUNNY SPRING,LORONG 40 GEYLANG,21,2200,2.0
LANDED HOUSING DEVELOPMENT,SOO CHOW WAY,21,2800,2.0
SUN PLAZA,SEMBAWANG DRIVE,20,5000,2.0
VILLA DELLE ROSE,TAMAN NAKHODA,16,4200,2.0
EAST VIEW,BROOKE ROAD,15,4400,2.0
YUNNAN GARDENS,YUNNAN CRESCENT,17,1800,2.0
TALIB CENTRE,PURVIS STREET,17,1800,2.0
PASTORAL VIEW,BASSEIN ROAD,17,1800,2.0
THE LEGEND,BUKIT TIMAH ROAD,22,2600,2.0
TEACHER'S HOUSING ESTATE,IQBAL AVENUE,18,2800,2.0
PINNACLE 16,SHAN ROAD,18,2600,2.0
LANDED HOUSING DEVELOPMENT,CHATSWORTH ROAD,12,3200,2.0
MACPHERSON GARDEN ESTATE,JALAN GEMBIRA,17,2400,2.0
THE MORNINGTON,ST. MICHAEL'S ROAD,17,1800,2.0
PARC SEABREEZE,JOO CHIAT ROAD,23,2200,2.0
PINETREE CONDOMINIUM,BALMORAL PARK,23,2200,2.0
LOYANG VALLEY,LOYANG AVENUE,23,2400,2.0
ROBINSON SUITES,ROBINSON ROAD,23,2200,2.0
EASTWOOD LODGE,EASTWOOD ROAD,19,3000,2.0
MARTIN NO 38,MARTIN ROAD,09,3000,2.0
MELOSA,LORONG 28 GEYLANG,14,2600,2.0
THE INSPIRA,ARNASALAM CHETTY ROAD,27,2200,2.0
NOVENA SUITES,MOULMEIN ROAD,16,2600,2.0
LANDED HOUSING DEVELOPMENT,RAMSGATE ROAD,16,2600,2.0
NON-LANDED HOUSING DEVELOPMENT,OPAL CRESCENT,16,7000,2.0
NON-LANDED HOUSING DEVELOPMENT,LORONG 27 GEYLANG,21,3200,2.0
BALMORAL POINT,BALMORAL ROAD,21,2200,2.0
THE CRISTALLO,LORONG K TELOK KURAU,23,2400,2.0
NON-LANDED HOUSING DEVELOPMENT,SAM LEONG ROAD,23,2400,2.0
HOLLAND MANSION,HOLLAND ROAD,18,3000,2.0
NON-LANDED HOUSING DEVELOPMENT,GUILLEMARD ROAD,13,3400,2.0
THE SOVEREIGN,MEYER ROAD,14,2600,2.0
MERAPRIME,JALAN BUKIT HO SWEE,15,6050,2.02
LEVENUE,LENGKONG EMPAT,19,3450,2.03
TREE HOUSE,CHESTNUT AVENUE,15,3650,2.03
FERNWOOD TERRACES,FERNWOOD TERRACE,17,2450,2.04
ALTEZ,ENGGOR STREET,16,2650,2.04
NUOVO,ANG MO KIO AVENUE 9,16,2650,2.04
WILKIE 80,WILKIE ROAD,19,2650,2.04
FORESQUE RESIDENCES,PETIR ROAD,12,2850,2.04
LOTUS AT BARKER,BARKER ROAD,14,2450,2.04
CHILTERN PARK,SERANGOON AVENUE 3,21,2250,2.05
SUNGROVE,WEST COAST GROVE,21,2250,2.05
CHARLTON PARK,AROOZOO AVENUE,21,2250,2.05
LANDED HOUSING DEVELOPMENT,WAK HASSAN PLACE,16,2050,2.05
LIEN TOWERS,HOLLAND PARK,15,2250,2.05
VETRO,MAR THOMA ROAD,19,3900,2.05
NON-LANDED HOUSING DEVELOPMENT,LORONG 10 GEYLANG,21,2050,2.05
SELETAR PARK RESIDENCE,SELETAR ROAD,17,1850,2.06
PRISTINE HEIGHTS,MERGUI ROAD,15,3700,2.06
